x,y,z,Cp,Pressure
166.25,1.176,0.0,0.48824,101607.1077
157.5,2.11225,0.0,0.4788775,101612.268778125
140.0,3.82725,0.0,0.4617275,101621.722715625
122.5,5.34275,0.0,0.4465725,101630.076909375
105.0,6.65525,0.0,0.4334475,101637.312065625
87.5,7.721,0.0,0.42279,101643.1870125
70.0,8.46475,0.0,0.4153525,101647.286934375
52.5,8.7535,0.0,0.41246499999999997,101648.87866875
43.75,8.666,0.0,0.41334,101648.396325
35.0,8.3685,0.0,0.416315,101646.75635625
26.25,7.79625,0.0,0.4220375,101643.601828125
17.5,6.8285,0.0,0.431715,101638.26710625
13.125,6.125,0.0,0.43875,101634.3890625
8.75,5.1835,0.0,0.448165,101629.19904375
4.375,3.8115,0.0,0.461885,101621.63589375
2.1875,2.7615,0.0,0.472385,101615.84776875
0.0,0.0,0.0,0.5,101600.625
2.1875,-2.7615,0.0,0.527615,101585.40223125
4.375,-3.8115,0.0,0.538115,101579.61410625
8.75,-5.1835,0.0,0.551835,101572.05095625
13.125,-6.125,0.0,0.56125,101566.8609375
17.5,-6.8285,0.0,0.568285,101562.98289375
26.25,-7.79625,0.0,0.5779625,101557.648171875
35.0,-8.3685,0.0,0.583685,101554.49364375
43.75,-8.666,0.0,0.58666,101552.853675
52.5,-8.7535,0.0,0.587535,101552.37133125
70.0,-8.46475,0.0,0.5846475,101553.963065625
87.5,-7.721,0.0,0.57721,101558.0629875
105.0,-6.65525,0.0,0.5665525,101563.937934375
122.5,-5.34275,0.0,0.5534275,101571.173090625
140.0,-3.82725,0.0,0.5382725,101579.527284375
157.5,-2.11225,0.0,0.5211225,101588.981221875
166.25,-1.176,0.0,0.51176,101594.1423
175.0,-0.18375,0.0,0.5018375,101599.612078125
175.0,0.18375,25.4,0.4981625,101601.637921875
166.25,1.176,25.4,0.48824,101607.1077
157.5,2.11225,25.4,0.4788775,101612.268778125
140.0,3.82725,25.4,0.4617275,101621.722715625
122.5,5.34275,25.4,0.4465725,101630.076909375
105.0,6.65525,25.4,0.4334475,101637.312065625
87.5,7.721,25.4,0.42279,101643.1870125
70.0,8.46475,25.4,0.4153525,101647.286934375
52.5,8.7535,25.4,0.41246499999999997,101648.87866875
43.75,8.666,25.4,0.41334,101648.396325
35.0,8.3685,25.4,0.416315,101646.75635625
26.25,7.79625,25.4,0.4220375,101643.601828125
17.5,6.8285,25.4,0.431715,101638.26710625
13.125,6.125,25.4,0.43875,101634.3890625
8.75,5.1835,25.4,0.448165,101629.19904375
4.375,3.8115,25.4,0.461885,101621.63589375
2.1875,2.7615,25.4,0.472385,101615.84776875
0.0,0.0,25.4,0.5,101600.625
2.1875,-2.7615,25.4,0.527615,101585.40223125
4.375,-3.8115,25.4,0.538115,101579.61410625
8.75,-5.1835,25.4,0.551835,101572.05095625
13.125,-6.125,25.4,0.56125,101566.8609375
17.5,-6.8285,25.4,0.568285,101562.98289375
26.25,-7.79625,25.4,0.5779625,101557.648171875
35.0,-8.3685,25.4,0.583685,101554.49364375
43.75,-8.666,25.4,0.58666,101552.853675
52.5,-8.7535,25.4,0.587535,101552.37133125
70.0,-8.46475,25.4,0.5846475,101553.963065625
87.5,-7.721,25.4,0.57721,101558.0629875
105.0,-6.65525,25.4,0.5665525,101563.937934375
122.5,-5.34275,25.4,0.5534275,101571.173090625
140.0,-3.82725,25.4,0.5382725,101579.527284375
157.5,-2.11225,25.4,0.5211225,101588.981221875
166.25,-1.176,25.4,0.51176,101594.1423
175.0,-0.18375,25.4,0.5018375,101599.612078125
175.0,0.18375,50.8,0.4981625,101601.637921875
166.25,1.176,50.8,0.48824,101607.1077
157.5,2.11225,50.8,0.4788775,101612.268778125
140.0,3.82725,50.8,0.4617275,101621.722715625
122.5,5.34275,50.8,0.4465725,101630.076909375
105.0,6.65525,50.8,0.4334475,101637.312065625
87.5,7.721,50.8,0.42279,101643.1870125
70.0,8.46475,50.8,0.4153525,101647.286934375
52.5,8.7535,50.8,0.41246499999999997,101648.87866875
43.75,8.666,50.8,0.41334,101648.396325
35.0,8.3685,50.8,0.416315,101646.75635625
26.25,7.79625,50.8,0.4220375,101643.601828125
17.5,6.8285,50.8,0.431715,101638.26710625
13.125,6.125,50.8,0.43875,101634.3890625
8.75,5.1835,50.8,0.448165,101629.19904375
4.375,3.8115,50.8,0.461885,101621.63589375
2.1875,2.7615,50.8,0.472385,101615.84776875
0.0,0.0,50.8,0.5,101600.625
2.1875,-2.7615,50.8,0.527615,101585.40223125
4.375,-3.8115,50.8,0.538115,101579.61410625
8.75,-5.1835,50.8,0.551835,101572.05095625
13.125,-6.125,50.8,0.56125,101566.8609375
17.5,-6.8285,50.8,0.568285,101562.98289375
26.25,-7.79625,50.8,0.5779625,101557.648171875
