Component,x,y,z
main_wing_left,0.0,-0.49980725906018075,0.0
main_wing_left,0.0,-0.4982671142387316,0.0
main_wing_left,0.0,-0.4951963201008076,0.0
main_wing_left,0.0,-0.4906138091134118,0.0
main_wing_left,0.0,-0.484547833980621,0.0
main_wing_left,0.0,-0.47703579345627034,0.0
main_wing_left,0.0,-0.46812400176819924,0.0
main_wing_left,0.0,-0.45786740307563634,0.0
main_wing_left,0.0,-0.4463292327201862,0.0
main_wing_left,0.0,-0.4335806273589214,0.0
main_wing_left,0.0,-0.41970018638323536,0.0
main_wing_left,0.0,-0.40477348732745855,0.0
main_wing_left,0.0,-0.3888925582549005,0.0
main_wing_left,0.0,-0.37215531037423877,0.0
main_wing_left,0.0,-0.354664934384357,0.0
main_wing_left,0.0,-0.33652926426937324,0.0
main_wing_left,0.0,-0.31786011246626855,0.0
main_wing_left,0.0,-0.29877258050403205,0.0
main_wing_left,0.0,-0.2793843493644594,0.0
main_wing_left,0.0,-0.2598149539397671,0.0
main_wing_left,0.0,-0.24018504606023283,0.0
main_wing_left,0.0,-0.22061565063554056,0.0
main_wing_left,0.0,-0.20122741949596792,0.0
main_wing_left,0.0,-0.18213988753373142,0.0
main_wing_left,0.0,-0.16347073573062676,0.0
main_wing_left,0.0,-0.14533506561564297,0.0
main_wing_left,0.0,-0.12784468962576126,0.0
main_wing_left,0.0,-0.11110744174509943,0.0
main_wing_left,0.0,-0.09522651267254151,0.0
main_wing_left,0.0,-0.08029981361676455,0.0
main_wing_left,0.0,-0.06641937264107861,0.0
main_wing_left,0.0,-0.053670767279813764,0.0
main_wing_left,0.0,-0.04213259692436369,0.0
main_wing_left,0.0,-0.031875998231800706,0.0
main_wing_left,0.0,-0.022964206543729687,0.0
main_wing_left,0.0,-0.01545216601937896,0.0
main_wing_left,0.0,-0.00938619088658818,0.0
main_wing_left,0.0,-0.004803679899192392,0.0
main_wing_left,0.0,-0.0017328857612684267,0.0
main_wing_left,0.0,-0.00019274093981927476,0.0
main_wing_left,0.0,-0.49980725906018075,0.0
main_wing_left,0.0,-0.4982671142387316,0.0
main_wing_left,0.0,-0.4951963201008076,0.0
